DJI（互联网泡沫）,DJI（经济大萧条）,DJI（87年，可能得省略）,DJI（08年金融危机）,N225（房地产泡沫）,CHL（智利金融危机）,China（中国08年）,HK（9798年东南亚危机）,China（中国15年）
3200.6,101.01,879.33,11240.35,7662.59,345.32,1421.983032,2607.8,1963.234985
3179,101.05,886.61,11219.38,7604.17,342.37,1449.81604,2584.5,1959.508057
3178.2,101.05,895.79,11173.59,7594.71,341.45,1446.511963,2584.5,1951.494995
3152.3,100.82,893.71,11076.18,7629.17,340.09,1447.849976,2567,1950.011963
3176,102.16,907.74,11124.37,7583.27,341.99,1447.425049,2587,1979.206055
3136.6,101.85,907.74,11088.03,7543.45,343.76,1431.532959,2583,1995.241943
3174.4,102.57,906.44,11097.87,7542.82,347.03,1425.727051,2577,2006.560059
3201.4,103.23,899.6,11230.26,7506.33,348.29,1420.073975,2583.7,1994.267944
3195.5,102.96,887.04,11327.12,7539.27,353.39,1423.177002,2538,2006.098022
3174.7,103.56,878.55,11334.96,7548.57,353.39,1423.959961,2568.6,2007.198975
3174.4,103.59,870.15,11381.47,7522.6,353,1409.161987,2566.9,1958.272949
3188.5,103.27,861.57,11345.05,7492.96,354.67,1397.540039,2568.8,1965.453979
3186,102.4,857.16,11339.84,7364.03,356.66,1406.104004,2581.2,2008.125977
3187.1,102.79,861.14,11297.9,7363.06,357.52,1389.822021,2581.9,2072.990967
3200.9,103.9,862.44,11304.46,7037.12,362.18,1390.484985,2598.8,2039.485962
3207.6,104.23,862.35,11284.05,7357.68,367.6,1391.369995,2633.7,2059.389893
3244.1,104.65,868.16,11352.01,7455.5,369.3,1381.442993,2666,2065.719971
3235.7,104.77,860.19,11369.94,7365.91,373.49,1390.17395,2656.1,2044.921997
3251.4,104.79,861.31,11382.91,7377.13,389.46,1394.229004,2625.1,2023.395996
3246.3,105.23,865.82,11381.15,7499.75,393.78,1376.291016,2632.7,1992.647949
3226.3,104.7,871.36,11464.15,7506.01,390.82,1370.843018,2659.3,2004.761963
3262.2,104.48,867.9,11469.28,7545.88,390.26,1355.334961,2668,2043.875977
3252.5,104.22,873.96,11406.2,7522.51,394.11,1367.161011,2667.3,2033.328979
3223,104.79,876.47,11331.44,7516.22,399.84,1367.160034,2671.2,2021.17395
3243.8,105.28,880.02,11392.11,7587.8,406.28,1367.160034,2676.6,2010.849976
3240.1,104.74,893.19,11396.84,7583.17,406.28,1367.160034,2690.3,1976.30603
3240.9,103.93,891.63,11498.09,7494.13,405.21,1367.160034,2680.2,1990.063965
3225.5,105.36,901.42,11543.32,7352.49,407.37,1367.160034,2671.4,1993.79895
3240.3,105.38,896.74,11527.39,7231.42,405.91,1371.685059,2665.9,2029.067017
3239.8,105.23,897.09,11560.77,7076.65,401.89,1369.17395,2651.9,2029.417969
3233,105.09,875.17,11555,7109.92,392.15,1404.008057,2642.1,2050.480957
3205.7,103.98,866.34,11540.91,7253.99,386.35,1399.657959,2627.2,2060.5
3193.3,102.36,859.67,11613.19,7216.29,393.52,1388.171997,2629.1,2046.777954
3207.4,103.03,846.41,11533.23,7262.19,396.46,1383.098022,2611.8,2044.89502
3209.5,103.45,838.01,11508.1,7261.8,397.53,1365.505005,2608,2052.235107
3227.4,102.77,839.66,11575.81,7280.58,394.83,1370.582031,2633.1,2101.282959
3223,101.51,832.55,11669.39,7321.98,395.17,1359.498047,2642.7,2106.156006
3248.7,101.6,830.21,11689.24,7428.25,395.67,1364.301025,2656.6,2100.136963
3266.3,101.4,821.12,11718.45,7449.46,398.16,1398.01001,2696.4,2081.879883
3282.2,102.36,806.05,11679.07,7539.63,399.58,1386.652954,2692.4,2068.451904
3305.2,102.7,811.85,11670.35,7572.15,400.03,1381.829956,2687.4,2085.602051
3294.4,102.11,792.45,11727.34,7546.5,398.21,1369.463013,2706.7,2072.594971
3286.3,101.86,827.79,11850.61,7536.53,400.13,1369.324951,2736.8,2072.960938
3276.5,101.08,816.96,11866.69,7516.35,400.84,1361.487061,2758.5,2067.124023
3288.7,101.71,823.11,11850.21,7528.21,403.88,1344.633057,2766.7,2057.458008
3307.3,101.81,814.88,11857.81,7502.58,408.61,1348.302979,2792.3,2096.474121
3322.2,101.76,800.07,11867.17,7505.02,411.07,1364.055054,2832.4,2103.565918
3323.8,102.14,807.61,11852.13,7569.51,409.51,1389.545044,2872.5,2101.301025
3312.2,102.24,803.97,11947.7,7674.92,411.02,1385.109985,2879.3,2097.227051
3304.1,102.58,807.09,11960.51,7648.6,409.66,1356.790039,2844,2098.38208
3292.2,101.38,792.01,11980.6,7667.31,403.22,1335.204956,2856.7,2098.447998
3284.4,100.73,785.26,11950.02,7655.26,401.81,1340.097046,2896.7,2123.112061
3255.2,101.08,785.6,11992.68,7647.43,405.05,1343.615967,2913.1,2127.61792
3269.2,101.36,794.18,12011.73,7602.69,404.25,1317.791992,2909.7,2122.429932
3313.3,101.37,797.73,12002.37,7650.79,403.5,1319.608032,2897.9,2139.99292
3312.5,101.16,805.61,12116.91,7664.69,402.18,1331.051025,2897.5,2212.516113
3321.1,98.38,804.05,12127.88,7555.23,400.77,1328.103027,2901,2237.983887
3313.54,97.4,807,12134.68,7549.33,401.11,1316.562012,2900.7,2241.268066
3326.2,98.05,810.12,12163.66,7521.73,401.11,1338.869995,2910.6,2255.604004
3333.26,96.3,813.84,12090.26,7566.17,401.49,1376.505981,2957,2236.217041
3310.8,96.6,804.14,12086.5,7624.98,406.79,1361.55896,3036.5,2231.400879
3321.1,95.41,790.11,12080.73,7716.13,408.16,1404.008057,3072.9,2185.560059
3301.11,96.54,799.03,12031.02,7789.16,411.35,1408.415039,3060.9,2191.851074
3309.2,98.19,811.5,12018.54,7752.43,412.02,1411.909058,3059.5,2221.043945
3307.9,97.61,806.83,11986.04,7743.12,414.63,1389.103027,3106,2207.531006
